received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-21T19:57:03.104113+00:00,170,114998,64x,300ms,25,64,0,10,112,80,190,71,21,11,8,4,258
2026-09-21T19:57:03.814566+00:00,171,115712,64x,300ms,25,64,1,10,111,80,191,72,21,11,8,4,284
2026-09-21T19:57:04.534936+00:00,172,116423,64x,300ms,25,64,1,13,161,95,190,72,22,12,10,4,320
2026-09-21T19:57:05.254749+00:00,173,117137,64x,300ms,25,64,1,13,161,95,188,73,22,12,10,4,322
2026-09-21T19:57:05.966465+00:00,174,117850,64x,300ms,25,64,1,13,160,94,187,62,19,10,8,3,287
2026-09-21T19:57:06.687820+00:00,175,118562,64x,300ms,25,64,1,12,150,88,173,66,20,11,9,4,306
2026-09-21T19:57:07.399258+00:00,176,119275,64x,300ms,25,64,0,9,95,60,152,55,16,8,6,2,205
2026-09-21T19:57:08.110917+00:00,177,119988,64x,300ms,25,64,0,0,0,0,4,4,0,0,0,0,8
2026-09-21T19:57:08.822565+00:00,178,120697,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,8
2026-09-21T19:57:09.542928+00:00,179,121407,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:10.256222+00:00,180,122117,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:10.968145+00:00,181,122826,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:11.686569+00:00,182,123536,64x,300ms,25,64,1,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:12.399047+00:00,183,124247,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:13.110746+00:00,184,124956,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:13.823504+00:00,185,125667,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:14.543333+00:00,186,126376,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:15.252338+00:00,187,127086,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:15.967088+00:00,188,127796,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:16.681769+00:00,189,128505,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:17.393274+00:00,190,129215,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:18.111589+00:00,191,129925,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:18.823243+00:00,192,130635,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:19.543591+00:00,193,131345,64x,300ms,25,64,1,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:20.256690+00:00,194,132055,64x,300ms,25,64,1,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:20.967257+00:00,195,132765,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:21.679784+00:00,196,133475,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:22.399296+00:00,197,134184,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:23.111529+00:00,198,134894,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:23.823158+00:00,199,135604,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:24.534896+00:00,200,136313,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:25.256392+00:00,201,137023,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:25.967083+00:00,202,137734,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:26.678717+00:00,203,138443,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:27.399421+00:00,204,139154,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:28.110872+00:00,205,139864,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:28.823888+00:00,206,140573,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:29.535092+00:00,207,141283,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:30.256248+00:00,208,141992,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:30.967031+00:00,209,142702,64x,300ms,25,64,0,0,0,0,4,3,0,0,0,0,7
2026-09-21T19:57:31.679838+00:00,210,143412,64x,300ms,25,64,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:32.399385+00:00,211,144121,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:33.111134+00:00,212,144832,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:33.143638+00:00,213,145542,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:33.856628+00:00,214,146252,64x,300ms,25,64,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:34.607548+00:00,215,146998,64x,300ms,24,61,1,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:35.358837+00:00,216,147742,64x,300ms,24,61,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:36.079853+00:00,217,148456,64x,300ms,24,61,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:36.791834+00:00,218,149166,64x,300ms,24,61,0,0,0,0,3,3,0,0,0,0,7
2026-09-21T19:57:37.504680+00:00,219,149879,64x,300ms,24,61,0,0,0,0,4,3,0,0,0,0,7
