received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-15T20:38:15.885737+00:00,160,115454,128x,300ms,25,64,1,67,547,484,1529,546,176,92,66,42,1592
2026-09-15T20:38:16.605788+00:00,161,116177,128x,300ms,25,64,0,67,548,484,1529,546,176,92,66,41,1591
2026-09-15T20:38:17.327064+00:00,162,116900,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1591
2026-09-15T20:38:18.053698+00:00,163,117622,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,41,1591
2026-09-15T20:38:18.774165+00:00,164,118345,128x,300ms,25,64,0,67,547,484,1529,546,176,92,66,42,1591
2026-09-15T20:38:19.493979+00:00,165,119067,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:20.213294+00:00,166,119790,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:20.942002+00:00,167,120512,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1592
2026-09-15T20:38:21.661636+00:00,168,121235,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,41,1591
2026-09-15T20:38:22.381241+00:00,169,121957,128x,300ms,25,64,1,67,547,484,1527,546,176,92,66,42,1592
2026-09-15T20:38:23.101849+00:00,170,122679,128x,300ms,25,64,1,67,547,484,1528,546,176,92,66,42,1591
2026-09-15T20:38:23.822990+00:00,171,123401,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,41,1592
2026-09-15T20:38:24.550387+00:00,172,124124,128x,300ms,25,64,0,66,547,484,1528,546,176,92,66,41,1591
2026-09-15T20:38:25.271528+00:00,173,124847,128x,300ms,25,64,0,67,547,484,1528,546,176,92,66,42,1590
2026-09-15T20:38:25.990428+00:00,174,125569,128x,300ms,25,64,0,67,547,483,1528,546,176,92,66,42,1592
2026-09-15T20:38:26.710072+00:00,175,126291,128x,300ms,25,64,0,67,547,484,1528,546,177,92,66,42,1591
